95879;Cisco Video Surveillance VC220 Network Dome Camera / VC240 Network Bullet Camera Web UI Crafted Packet Handling Remote DoS
95878;Cisco Multiple Content Network / Video Delivery Products Web Framework Command Line Interface Remote Command Execution
95877;Cisco Wide Area Application Services (WAAS) Web Service Framework Crafted Request Handling Remote Code Execution
95876;Cisco WebEx Crafted SPI Call Handling Arbitrary File Enumeration
95875;TP-Link TL-SC3171 IP Cameras /cgi-bin/firmwareupgrade Unauthenticated Firmware Upgrade
95874;TP-Link TL-SC3171 IP Cameras /cgi-bin/uploadfile Arbitrary File Upload
95873;TP-Link TL-SC3171 IP Cameras Default Hardcoded Credentials
95872;TP-Link TL-SC3171 IP Cameras /cgi-bin/admin/servetest Multiple Parameter Remote Command Execution
95871;Perl CPAN Data::UUID Module Insecure Temporary File Creation Symlink Local Privilege Escalation
95870;Splunk X-FRAME-OPTIONS Clickjacking Weakness
95869;xmonad-contrib XMonad.Hooks.DynamicLog Window Title Handling Arbitrary Command Execution
95868;Flippy Module for Drupal Permission Weakness Previous / Next Link Disclosure
95867;Little CMS Color Engine (lcms) Unspecified Issue
95866;Python glanceclient Module SSL Certificate Validation MitM Spoofing Weakness
95865;General Electric (GE) Proficy HMI/SCADA - CIMPLICITY CimWebServer.exe Password Decoding Crafted Request szPassword Field Handling Stack Buffer Overflow
95864;General Electric (GE) Proficy HMI/SCADA - CIMPLICITY CimWebServer.exe Broadcase/Init Crafted Request szOptions Field Handling Stack Buffer Overflow
95863;Plone in_portal.py Crafted URL Handling Session Hijacking Weakness
95862;Plone Multiple Script ZIP File Expansion Handling Resource Consumption Remote DoS
95861;Plone mail_password.py Forgotten Password Functionality Unauthorized Password Reset
95860;Plone objectmanager.py Crafted URL Handling Multiple Unspecified Information Disclosure
95859;Plone Multiple Script Arbitrary Site Redirect
95858;Plone wysiwyg.py Crafted URL Handling Path Disclosure
95857;Plone typeswidget.py Crafted URL Handling Field Display Manipulation
95856;Plone sendto.py Email Spoofing Weakness
95855;Plone zip.py Zip Archive Generation Information Disclosure
95854;Plone request.py Unspecified XSS
95853;Plone pts.py Unspecified XSS
95852;Plone spamProtect.py Unspecified XSS
95851;Google Authenticator login Module for Drupal One-time Password (OTP) Replay Authentication Bypass
95850;FUDforum index.php Custom Profile Fields XSS
95849;FUDforum forum_data/src/cookies.inc.t ses_get() Early Return Case Remote DoS
95848;FUDforum post_proc.inc.t URL / Email Address Handling XSS
95847;mojoPortal /Forums/EditPost.aspx txtSubject Parameter XSS
95846;Jahia xCM /administration/ Multiple Parameter XSS
95845;Jahia xCM /engines/manager.jsp site Parameter XSS
95844;Siemens WinCC (TIA Portal) HMI Panel Unspecified Arbitrary Site Redirect
95843;Siemens WinCC (TIA Portal) HMI Panel Unspecified CSRF
95842;Cotonti index.php c Parameter SQL Injection
95841;Google V8 arm/lithium-codegen-arm.cc IC Lazy Deoptimization Space Handling Unspecified Issue
95840;Google V8 FullCodegen / Hydrogen Inconsistent Compare-Literal Behavior Unspecified Issue
95839;Google Chrome BaseMultipleFieldsDateAndTimeInputType::destroyShadowSubtree Function Reentrancy Use-after-free Arbitrary Code Execution
95838;Google Chrome RadioInputType::handleKeydownEvent Function Use-after-free Arbitrary Code Execution
95837;Google Chrome ApplyStyleCommand::removeInlineStyle Function Use-after-free Arbitrary Code Execution
95836;Google Chrome RenderListItem::updateMarkerLocation Function List Marker Moving Arbitrary Code Execution
95835;Google Chrome Style Element Handling Use-after-free Arbitrary Code Execution
